Device Type,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Zone Traffic (StL Index)
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),252
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),4
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),55
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),142
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),44
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),6
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),340
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),60
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),214
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),58
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,1: Average Weekday (M-Th),5: Late PM (7pm-12am),7
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),92
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),29
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),47
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),8
Commercial,Origin,19,Crestview Blvd W,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),8
Commercial,Origin,20,North Frontage Road,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),301
Commercial,Origin,20,North Frontage Road,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),56
Commercial,Origin,20,North Frontage Road,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),96
Commercial,Origin,20,North Frontage Road,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),137
Commercial,Origin,20,North Frontage Road,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),13
Commercial,Origin,20,North Frontage Road,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),445
Commercial,Origin,20,North Frontage Road,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),73
Commercial,Origin,20,North Frontage Road,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),163
Commercial,Origin,20,North Frontage Road,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),192
Commercial,Origin,20,North Frontage Road,yes,N/A,no,1: Average Weekday (M-Th),5: Late PM (7pm-12am),15
Commercial,Origin,20,North Frontage Road,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),53
Commercial,Origin,20,North Frontage Road,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),21
Commercial,Origin,20,North Frontage Road,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),32
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),7157
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),685
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),1522
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),3007
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),1167
Commercial,Origin,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),776
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),8791
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),1: Early AM (12am-6am),743
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),1928
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),3848
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),1381
Commercial,Origin,4,Norell Ave,yes,N/A,no,1: Average Weekday (M-Th),5: Late PM (7pm-12am),891
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),3476
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),488
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),761
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1026
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),616
Commercial,Origin,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),585
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),34268
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),2359
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),9795
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),13335
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),6438
Commercial,Origin,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),2342
Commercial,Origin,6,West TH 36,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),44765
Commercial,Origin,6,West TH 36,yes,N/A,no,1: Average Weekday (M-Th),1: Early AM (12am-6am),2853
Commercial,Origin,6,West TH 36,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),12805
Commercial,Origin,6,West TH 36,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),17762
Commercial,Origin,6,West TH 36,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),8676
Commercial,Origin,6,West TH 36,yes,N/A,no,1: Average Weekday (M-Th),5: Late PM (7pm-12am),2669
Commercial,Origin,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),9625
Commercial,Origin,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),1041
Commercial,Origin,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),2641
Commercial,Origin,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),2796
Commercial,Origin,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1699
Commercial,Origin,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),1447
Commercial,Origin,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),7721
Commercial,Origin,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),242
Commercial,Origin,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),2296
Commercial,Origin,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),2989
Commercial,Origin,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),1810
Commercial,Origin,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),384
Commercial,Origin,7,North Manning Ave,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),9764
Commercial,Origin,7,North Manning Ave,yes,N/A,no,1: Average Weekday (M-Th),1: Early AM (12am-6am),279
