Device Type,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,O-M-D Traffic (StL Index),Origin Zone Traffic (StL Index),Middle Filter Zone Traffic (StL Index),Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,8,South Manning Ave,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),16,12099,2974,250,N/A
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),183,40193,7939,23355,709
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),26,8384,1361,4013,774
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),96,15128,3289,9161,881
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),61,12231,2792,7346,410
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),157,39929,7779,22101,777
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),16,10753,1534,4931,1194
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),78,13571,2880,7889,1085
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),63,12099,2974,7106,287
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),237,38820,7983,23830,587
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),59,3755,917,2306,564
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),89,17414,4051,10614,615
Personal,6,West TH 36,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,9,East TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),89,12063,2454,7303,575
