Device Type,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,O-D Traffic (Trip Counts),O-D Traffic (StL Index),Origin Zone Traffic (Trip Counts),Origin Zone Traffic (StL Index),Destination Zone Traffic (Trip Counts),Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,4,Norell Ave,yes,N/A,no,12,Stillwater Motors,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),1,1,1309,1901,20,29,436
Personal,4,Norell Ave,yes,N/A,no,12,Stillwater Motors,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),1,1,2479,3600,46,67,436
Personal,4,Norell Ave,yes,N/A,no,12,Stillwater Motors,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),1,1,1758,2553,38,55,2049
Personal,4,Norell Ave,yes,N/A,no,12,Stillwater Motors,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),1,3,3695,9371,59,150,436
Personal,4,Norell Ave,yes,N/A,no,12,Stillwater Motors,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),1,3,908,2303,7,18,436
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),29,42,6170,8960,871,1265,533
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),1,1,90,131,3,4,157
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),6,9,1309,1901,181,263,673
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),11,16,2479,3600,349,507,386
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),11,16,1758,2553,290,421,638
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),20,51,3695,9371,627,1590,492
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),1,3,67,170,2,5,157
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),5,13,908,2303,145,368,699
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),6,15,1370,3475,240,609,353
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),8,20,1018,2582,210,533,510
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),5,25,1633,8323,116,591,534
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),3,15,777,3960,60,306,432
Personal,4,Norell Ave,yes,N/A,no,13,58th St West,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),2,10,486,2477,36,183,686
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),319,463,6170,8960,4650,6753,166
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),2,3,90,131,31,45,93
Personal,4,Norell Ave,yes,N/A,no,14,Greeley St,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),59,86,1309,1901,911,1323,110
